Restaurant_Name,City,District,Address,Phones
Wadi El Nil Restaurant,El monofeya.,Minuf,33 Shahin St.,
Wady El Nile Restaurant,Cairo.,El sherouk city,"6th Plot, 7th District",
Wagba,Cairo.,Heliopolis,"7 Ibn Hagar El Asqalany St., Off Shams El Din El Zahaby St., koleyet El Banat",
Wagdy Restaurant,El sharkeya.,El zagazig,El Waziry St.,
Wahet El Khaligia Restaurant,Ismaileya.,El manayef,Km 104 Misr Ismaileya Desert Rd.,
Walaem El Sultan Restaurant,Cairo.,Ain el sira,9 Nasr Awad St.,
Walemt Toril Restaurant,El dakahleya.,El mansoura,"Aly Mubarak St., Toril",
Waly El Sham Restaurant,Cairo.,Helwan,31 El Maraghy St.,
Wannasa Coffee Shop,Giza.,Mohandeseen,3 Gamaet El Dewal El Arabeya St.,
Waraq Enab,Giza.,Mohandeseen,"30 Abdel Moneim Riad St., Off El Batal Ahmed Abdel Aziz St.",
Warda Restaurant & Cafe,"Giza.
See All Branches
❯",Mohandeseen,"2 Mohandeseen St., Off Mohamed Hassan Helmy St.",
Wawshy,"Cairo.
See All Branches
❯",Madinty,Talaat Mostafa Rd.,
Welad El Arndly Restaurant,Giza.,Mohandeseen,"9 Abdel Hamid Lotfy St., Off Batal Ahmed Abdel Aziz St.",
Welad El Balad Restaurant,Giza.,Boulak El Dakrour,62 Teraet Zeineen St.,
Wesh El Saad Restaurant,El Monofeya.,El Bagour,57 Banha El Sadat Rd.,
Western Desert Restaurant,Baharia Oasis.,Baharia Oasis,"Km 365, Oasis Rd., El Bawity",
Wezooo Resturants,Giza.,6th Of October,", 7th District",
Why Alex,Kafr El Sheikh.,Downtown,El Khalifa El Maamoun St.,
Winji Cafe & Restaurant,Alexandria.,Alex. Cairo Desert Rd.,"Km 6, ",
Woods Cafe & Restaurant,Alexandria.,Sidi Gaber,El Guish Rd.,
Yalla Kebda,Cairo.,Shoubra,15 Abdel Latif El Fahham St.,
Yehia Hendawy Restaurant,Cairo.,El Marg,51 Mekka St.,
Yokal,"Cairo.
See All Branches
❯",Heliopolis,"72 El Horreya St., Almaza",
Yolo B El Araby Zebda,Giza.,6th Of October,"El Gehaz St. 3rd Neighbourhood, 2nd District, El Sheikh Zayed",
Youka's,Giza.,6th Of October,El Wahat Rd.,
Youssef Restaurant,Cairo.,Helwan,"El Dayer El Sharqy St., Helwan El Balad",
Zad Restaurant,Suez.,El Zaiteiat,"New Suez Corniche, Lusinda Resort",
Zaghlalla Restaurant,Giza.,6th Of October,"., 6th District",
Zaher Roof Top Restaurant,Cairo.,El Gamaleya,114 El Moez Ledin Allah El Fatemy St.,
Zahran El Sharqawy Restaurant,Cairo.,Helmeyet El Zaitoun,5 Ibn El Hakam St.,
Zamzam Countryside Cuisine,Giza.,El Haram,"Building 2 K, Hadayek El Ahram",
Zamzam Restaurant,Cairo.,Ain Shams,38 El Eshreen St.,
Zamzam Restaurant,Kaliobeya.,El Khosous,"38 Sayed Hamada St., El Farag Tower",
Zat Restaurant,North Coast.,Sidi Kreir,"Km 34, Alex Matrouh Desert Rd",
Zein El Abedeen,Cairo.,Maadi,"6 Abou El Wafa St., Hadayek El Maadi",
Zein Restaurant,Kaliobeya.,Shoubra El Khaymah,19 15th Of May St.,
Zeinabooo Kitchen,Cairo.,Heliopolis,"4 Sayed Zakaria St., Sheraton Bldgs.",
Zenzero Coffee & Steet Food,Cairo.,Zamalek,1 A Sayed El Bakry St. Off 26th Of July St.,
Zezo Restaurant,Cairo.,Bab El Shaareya,"1 El Banhawy St., Abou El Fotouh Sq.",
Zinger,"Giza.
See All Branches
❯",Faisal,"423 Faisal St., Madkour",
Zitouni,Cairo.,Garden City,1089 Corniche El Nil,
Zizo Restaurant,Cairo.,El Herafeyeen,69 El Asqalany St.,
Zoaa,Cairo.,Zamalek,2 Taha Hussein St.Ismail Mohamed Tower,
Zomba Restaurant,El Gouna.,Downtown,"7 H Enas El Deghaidy St., Kafr El Gouna",
Zooba,"Cairo.
See All Branches
❯",Zamalek,16 26th Of July St.,
Mac N Pie,El Dakahleya.,El Mansoura,", El Gamaa District",
